Account,Compound,Date,Negative,Neutral,Positive,Tweets Ago
@BBCBreaking,-0.8834,Wed Oct 03 15:59:12 +0000 2018,0.408,0.549,0.043,1
@BBCBreaking,-0.8316,Wed Oct 03 15:38:53 +0000 2018,0.423,0.577,0.0,2
@BBCBreaking,-0.7269,Wed Oct 03 08:29:50 +0000 2018,0.276,0.724,0.0,3
@BBCBreaking,0.0,Wed Oct 03 07:17:36 +0000 2018,0.0,1.0,0.0,4
@BBCBreaking,0.0,Tue Oct 02 10:37:30 +0000 2018,0.0,1.0,0.0,5
@BBCBreaking,-0.6369,Tue Oct 02 06:55:57 +0000 2018,0.216,0.721,0.062,6
@BBCBreaking,-0.5719,Tue Oct 02 06:25:58 +0000 2018,0.171,0.829,0.0,7
@BBCBreaking,-0.6597,Tue Oct 02 06:13:53 +0000 2018,0.265,0.735,0.0,8
@BBCBreaking,-0.5574,Mon Oct 01 12:16:14 +0000 2018,0.167,0.833,0.0,9
@BBCBreaking,0.7067,Sun Sep 30 15:02:11 +0000 2018,0.0,0.796,0.204,10
@BBCBreaking,-0.7351,Sun Sep 30 06:52:14 +0000 2018,0.292,0.708,0.0,11
@BBCBreaking,0.2732,Sat Sep 29 14:18:39 +0000 2018,0.066,0.812,0.122,12
@BBCBreaking,-0.5574,Sat Sep 29 07:33:05 +0000 2018,0.167,0.833,0.0,13
@BBCBreaking,0.5574,Fri Sep 28 21:09:09 +0000 2018,0.0,0.833,0.167,14
@BBCBreaking,0.5719,Fri Sep 28 18:04:12 +0000 2018,0.0,0.773,0.227,15
@BBCBreaking,0.34,Fri Sep 28 17:44:43 +0000 2018,0.0,0.902,0.098,16
@BBCBreaking,0.0,Fri Sep 28 17:08:56 +0000 2018,0.0,1.0,0.0,17
@BBCBreaking,-0.296,Fri Sep 28 15:55:27 +0000 2018,0.128,0.872,0.0,18
@BBCBreaking,0.0,Fri Sep 28 12:54:18 +0000 2018,0.0,1.0,0.0,19
@BBCBreaking,-0.743,Fri Sep 28 09:46:20 +0000 2018,0.283,0.717,0.0,20
@BBCBreaking,-0.5859,Thu Sep 27 20:29:32 +0000 2018,0.283,0.613,0.104,21
@BBCBreaking,0.0352,Thu Sep 27 19:18:04 +0000 2018,0.144,0.706,0.15,22
@BBCBreaking,0.0258,Thu Sep 27 15:14:06 +0000 2018,0.0,0.942,0.058,23
@BBCBreaking,-0.6395,Thu Sep 27 14:40:05 +0000 2018,0.199,0.801,0.0,24
@BBCBreaking,-0.7351,Wed Sep 26 16:32:23 +0000 2018,0.279,0.721,0.0,25
@BBCBreaking,0.0,Wed Sep 26 14:55:12 +0000 2018,0.0,1.0,0.0,26
@BBCBreaking,-0.0258,Wed Sep 26 13:08:57 +0000 2018,0.111,0.783,0.106,27
